candidate_id,patches_per_side,patch_size,num_patches,tokens,hidden,heads,depth,mlp_ratio,mlp_hidden,parameters,parameters_M,fp32_weight_MB,int8_weight_MB,FLOPs,MFLOPs,peak_activation_KB,peak_activation_MB,attention_peak_KB,mlp_peak_KB,memory_feasible,memory_utilization_%,memory_margin_KB,capacity_density
C037,4,8,16,17,96,4,4,1,96,246442,0.246442,0.9401016235351562,0.23502540588378906,8987024,8.987024,40.90625,0.039947509765625,40.90625,19.125,True,15.97900390625,215.09375,42.72827133876576
C038,4,8,16,17,96,4,4,2,192,320554,0.320554,1.2228164672851562,0.30570411682128906,11754896,11.754896,40.90625,0.039947509765625,40.90625,25.5,True,15.97900390625,215.09375,65.33447850155373
C039,4,8,16,17,96,4,5,1,96,302698,0.302698,1.1547012329101562,0.28867530822753906,11081764,11.081764,40.90625,0.039947509765625,40.90625,19.125,True,15.97900390625,215.09375,43.31440373572294
C040,4,8,16,17,96,4,5,2,192,395338,0.395338,1.5080947875976562,0.37702369689941406,14541604,14.541604,40.90625,0.039947509765625,40.90625,25.5,True,15.97900390625,215.09375,66.01747647646023
C041,4,8,16,17,96,8,2,1,96,133930,0.13393,0.5109024047851562,0.12772560119628906,4809104,4.809104,49.9375,0.04876708984375,49.9375,19.125,True,19.5068359375,206.0625,39.924276954709235
C042,4,8,16,17,96,8,2,2,192,170986,0.170986,0.6522598266601562,0.16306495666503906,6193040,6.19304,49.9375,0.04876708984375,49.9375,25.5,True,19.5068359375,206.0625,62.005089584436725
C043,4,8,16,17,96,8,3,1,96,190186,0.190186,0.7255020141601562,0.18137550354003906,6909624,6.909624,49.9375,0.04876708984375,49.9375,19.125,True,19.5068359375,206.0625,41.680994508528975
C044,4,8,16,17,96,8,3,2,192,245770,0.24577,0.9375381469726562,0.23438453674316406,8985528,8.985528,49.9375,0.04876708984375,49.9375,25.5,True,19.5068359375,206.0625,64.10307774902043
C045,4,8,16,17,96,8,4,1,96,246442,0.246442,0.9401016235351562,0.23502540588378906,9010144,9.010144,49.9375,0.04876708984375,49.9375,19.125,True,19.5068359375,206.0625,42.61863073442555
C046,4,8,16,17,96,8,4,2,192,320554,0.320554,1.2228164672851562,0.30570411682128906,11778016,11.778016,49.9375,0.04876708984375,49.9375,25.5,True,19.5068359375,206.0625,65.20622828157137
C047,4,8,16,17,96,8,5,1,96,302698,0.302698,1.1547012329101562,0.28867530822753906,11110664,11.110664,49.9375,0.04876708984375,49.9375,19.125,True,19.5068359375,206.0625,43.201738437954745
C048,4,8,16,17,96,8,5,2,192,395338,0.395338,1.5080947875976562,0.37702369689941406,14570504,14.570504,49.9375,0.04876708984375,49.9375,25.5,True,19.5068359375,206.0625,65.8865335063221
C049,4,8,16,17,96,12,2,1,96,133930,0.13393,0.5109024047851562,0.12772560119628906,4820664,4.820664,58.96875,0.057586669921875,58.96875,19.125,True,23.03466796875,197.03125,39.82853814329312
C050,4,8,16,17,96,12,2,2,192,170986,0.170986,0.6522598266601562,0.16306495666503906,6204600,6.2046,58.96875,0.057586669921875,58.96875,25.5,True,23.03466796875,197.03125,61.88956580601489
C051,4,8,16,17,96,12,3,1,96,190186,0.190186,0.7255020141601562,0.18137550354003906,6926964,6.926964,58.96875,0.057586669921875,58.96875,19.125,True,23.03466796875,197.03125,41.57665609349204
C052,4,8,16,17,96,12,3,2,192,245770,0.24577,0.9375381469726562,0.23438453674316406,9002868,9.002868,58.96875,0.057586669921875,58.96875,25.5,True,23.03466796875,197.03125,63.979611830363396
C053,4,8,16,17,96,12,4,1,96,246442,0.246442,0.9401016235351562,0.23502540588378906,9033264,9.033264,58.96875,0.057586669921875,58.96875,19.125,True,23.03466796875,197.03125,42.50955136482228
C054,4,8,16,17,96,12,4,2,192,320554,0.320554,1.2228164672851562,0.30570411682128906,11801136,11.801136,58.96875,0.057586669921875,58.96875,25.5,True,23.03466796875,197.03125,65.07848058017466
C055,4,8,16,17,96,12,5,1,96,302698,0.302698,1.1547012329101562,0.28867530822753906,11139564,11.139564,58.96875,0.057586669921875,58.96875,19.125,True,23.03466796875,197.03125,43.089657728076254
C056,4,8,16,17,96,12,5,2,192,395338,0.395338,1.5080947875976562,0.37702369689941406,14599404,14.599404,58.96875,0.057586669921875,58.96875,25.5,True,23.03466796875,197.03125,65.75610894800911
C057,4,8,16,17,128,2,2,1,128,227722,0.227722,0.8686904907226562,0.21717262268066406,8058260,8.05826,47.015625,0.0459136962890625,47.015625,25.5,True,18.365478515625,208.984375,31.768644843924122
C058,4,8,16,17,128,2,2,2,256,293514,0.293514,1.1196670532226562,0.27991676330566406,10460564,10.460564,47.015625,0.0459136962890625,47.015625,34.0,True,18.365478515625,208.984375,48.945735621903374
C059,4,8,16,17,128,2,3,1,128,327306,0.327306,1.2485733032226562,0.31214332580566406,11682014,11.682014,47.015625,0.0459136962890625,47.015625,25.5,True,18.365478515625,208.984375,32.87104432506244
C060,4,8,16,17,128,2,3,2,256,425994,0.425994,1.6250381469726562,0.40625953674316406,15285470,15.28547,47.015625,0.0459136962890625,47.015625,34.0,True,18.365478515625,208.984375,50.24379361576713
C061,4,8,16,17,128,2,4,1,128,426890,0.42689,1.6284561157226562,0.40711402893066406,15305768,15.305768,47.015625,0.0459136962890625,47.015625,25.5,True,18.365478515625,208.984375,33.45144131284363
C062,4,8,16,17,128,2,4,2,256,558474,0.558474,2.1304092407226562,0.5326023101806641,20110376,20.110376,47.015625,0.0459136962890625,47.015625,34.0,True,18.365478515625,208.984375,50.918988287439284
C063,4,8,16,17,128,2,5,1,128,526474,0.526474,2.0083389282226562,0.5020847320556641,18929522,18.929522,47.015625,0.0459136962890625,47.015625,25.5,True,18.365478515625,208.984375,33.80962287373131
C064,4,8,16,17,128,2,5,2,256,690954,0.690954,2.6357803344726562,0.6589450836181641,24935282,24.935282,47.015625,0.0459136962890625,47.015625,34.0,True,18.365478515625,208.984375,51.33288646986226
C065,4,8,16,17,128,4,2,1,128,227722,0.227722,0.8686904907226562,0.21717262268066406,8064040,8.06404,51.53125,0.050323486328125,51.53125,25.5,True,20.12939453125,204.46875,31.74587427641728
C066,4,8,16,17,128,4,2,2,256,293514,0.293514,1.1196670532226562,0.27991676330566406,10466344,10.466344,51.53125,0.050323486328125,51.53125,34.0,True,20.12939453125,204.46875,48.918705519329386
C067,4,8,16,17,128,4,3,1,128,327306,0.327306,1.2485733032226562,0.31214332580566406,11690684,11.690684,51.53125,0.050323486328125,51.53125,25.5,True,20.12939453125,204.46875,32.846666627889356
C068,4,8,16,17,128,4,3,2,256,425994,0.425994,1.6250381469726562,0.40625953674316406,15294140,15.29414,51.53125,0.050323486328125,51.53125,34.0,True,20.12939453125,204.46875,50.2153112237759
C069,4,8,16,17,128,4,4,1,128,426890,0.42689,1.6284561157226562,0.40711402893066406,15317328,15.317328,51.53125,0.050323486328125,51.53125,25.5,True,20.12939453125,204.46875,33.42619548265859
C070,4,8,16,17,128,4,4,2,256,558474,0.558474,2.1304092407226562,0.5326023101806641,20121936,20.121936,51.53125,0.050323486328125,51.53125,34.0,True,20.12939453125,204.46875,50.88973546084233
C071,4,8,16,17,128,4,5,1,128,526474,0.526474,2.0083389282226562,0.5020847320556641,18943972,18.943972,51.53125,0.050323486328125,51.53125,25.5,True,20.12939453125,204.46875,33.78383371765963
C072,4,8,16,17,128,4,5,2,256,690954,0.690954,2.6357803344726562,0.6589450836181641,24949732,24.949732,51.53125,0.050323486328125,51.53125,34.0,True,20.12939453125,204.46875,51.303156282400145
C073,4,8,16,17,128,8,2,1,128,227722,0.227722,0.8686904907226562,0.21717262268066406,8075600,8.0756,60.5625,0.05914306640625,60.5625,25.5,True,23.6572265625,195.4375,31.700430927732924
C074,4,8,16,17,128,8,2,2,256,293514,0.293514,1.1196670532226562,0.27991676330566406,10477904,10.477904,60.5625,0.05914306640625,60.5625,34.0,True,23.6572265625,195.4375,48.86473477901687
C075,4,8,16,17,128,8,3,1,128,327306,0.327306,1.2485733032226562,0.31214332580566406,11708024,11.708024,60.5625,0.05914306640625,60.5625,25.5,True,23.6572265625,195.4375,32.798019546253066
C076,4,8,16,17,128,8,3,2,256,425994,0.425994,1.6250381469726562,0.40625953674316406,15311480,15.31148,60.5625,0.05914306640625,60.5625,34.0,True,23.6572265625,195.4375,50.15844320731895
C077,4,8,16,17,128,8,4,1,128,426890,0.42689,1.6284561157226562,0.40711402893066406,15340448,15.340448,60.5625,0.05914306640625,60.5625,25.5,True,23.6572265625,195.4375,33.3758179682888
C078,4,8,16,17,128,8,4,2,256,558474,0.558474,2.1304092407226562,0.5326023101806641,20145056,20.145056,60.5625,0.05914306640625,60.5625,34.0,True,23.6572265625,195.4375,50.831330525961306
C079,4,8,16,17,128,8,5,1,128,526474,0.526474,2.0083389282226562,0.5020847320556641,18972872,18.972872,60.5625,0.05914306640625,60.5625,25.5,True,23.6572265625,195.4375,33.732373253769914
C080,4,8,16,17,128,8,5,2,256,690954,0.690954,2.6357803344726562,0.6589450836181641,24978632,24.978632,60.5625,0.05914306640625,60.5625,34.0,True,23.6572265625,195.4375,51.24379909996672
C081,4,8,16,17,192,2,2,1,192,489034,0.489034,1.8655166625976562,0.46637916564941406,17098004,17.098004,68.265625,0.0666656494140625,68.265625,38.25,True,26.666259765625,187.734375,22.458761853137947
C082,4,8,16,17,192,2,2,2,384,636874,0.636874,2.4294815063476562,0.6073703765869141,22372628,22.372628,68.265625,0.0666656494140625,68.265625,51.0,True,26.666259765625,187.734375,34.327661462032985
C083,4,8,16,17,192,2,3,1,192,712138,0.712138,2.7165908813476562,0.6791477203369141,25038942,25.038942,68.265625,0.0666656494140625,68.265625,38.25,True,26.666259765625,187.734375,23.00416686935095
C084,4,8,16,17,192,2,3,2,384,933898,0.933898,3.5625381469726562,0.8906345367431641,32950878,32.950878,68.265625,0.0666656494140625,68.265625,51.0,True,26.666259765625,187.734375,34.96113214342877
C085,4,8,16,17,192,2,4,1,192,935242,0.935242,3.5676651000976562,0.8919162750244141,32979880,32.97988,68.265625,0.0666656494140625,68.265625,38.25,True,26.666259765625,187.734375,23.286925240479952
C086,4,8,16,17,192,2,4,2,384,1230922,1.230922,4.695594787597656,1.173898696899414,43529128,43.529128,68.265625,0.0666656494140625,68.265625,51.0,True,26.666259765625,187.734375,35.28671651773038
C087,4,8,16,17,192,2,5,1,192,1158346,1.158346,4.418739318847656,1.104684829711914,40920818,40.920818,68.265625,0.0666656494140625,68.265625,38.25,True,26.666259765625,187.734375,23.459941587677942
